Transaction;Item;date_time;period_day;weekday_weekend
1;Sari Roti Gandum;30/10/2016 09.58;morning;weekend
2;Gula;30/10/2016 10.05;morning;weekend
2;Gula;30/10/2016 10.05;morning;weekend
3;Milo;30/10/2016 10.07;morning;weekend
3;Popok Mamypoko;30/10/2016 10.07;morning;weekend
3;Garam dolphine;30/10/2016 10.07;morning;weekend
4;Minyak makan bimoli;30/10/2016 10.08;morning;weekend
5;Kopi kapal api;30/10/2016 10.13;morning;weekend
5;Pasta gigi;30/10/2016 10.13;morning;weekend
5;Sari Roti Gandum;30/10/2016 10.13;morning;weekend
6;Mentega blueband;30/10/2016 10.16;morning;weekend
6;Pasta gigi;30/10/2016 10.16;morning;weekend
6;Minyak makan bimoli;30/10/2016 10.16;morning;weekend
7;Mentega blueband;30/10/2016 10.19;morning;weekend
7;Pasta gigi;30/10/2016 10.19;morning;weekend
7;Kopi kapal api;30/10/2016 10.19;morning;weekend
7;Teh prendjak;30/10/2016 10.19;morning;weekend
8;Pasta gigi;30/10/2016 10.20;morning;weekend
8;Sari Roti Gandum;30/10/2016 10.20;morning;weekend
9;Sari Roti Gandum;30/10/2016 10.21;morning;weekend
9;Minyak makan bimoli;30/10/2016 10.21;morning;weekend
10;Gula;30/10/2016 10.25;morning;weekend
10;Mentega blueband;30/10/2016 10.25;morning;weekend
11;Sari Roti Gandum;30/10/2016 10.27;morning;weekend
11;Mentega blueband;30/10/2016 10.27;morning;weekend
11;Sari Roti Gandum;30/10/2016 10.27;morning;weekend
12;Popok Mamypoko;30/10/2016 10.30;morning;weekend
12;Kopi kapal api;30/10/2016 10.30;morning;weekend
12;Minyak kayu putih;30/10/2016 10.30;morning;weekend
12;Pasta gigi;30/10/2016 10.30;morning;weekend
12;Teh prendjak;30/10/2016 10.30;morning;weekend
13;Basket;30/10/2016 10.31;morning;weekend
13;Sari Roti Gandum;30/10/2016 10.31;morning;weekend
13;Kopi kapal api;30/10/2016 10.31;morning;weekend
14;Sari Roti Gandum;30/10/2016 10.32;morning;weekend
14;Mentega blueband;30/10/2016 10.32;morning;weekend
14;Pasta gigi;30/10/2016 10.32;morning;weekend
15;Mineral water;30/10/2016 10.34;morning;weekend
15;Gula;30/10/2016 10.34;morning;weekend
16;Sari Roti Gandum;30/10/2016 10.37;morning;weekend
16;Mentega blueband;30/10/2016 10.37;morning;weekend
16;Kopi kapal api;30/10/2016 10.37;morning;weekend
17;Milo;30/10/2016 10.38;morning;weekend
18;Garnier Man;30/10/2016 10.41;morning;weekend
19;Garnier Man;30/10/2016 10.43;morning;weekend
19;Sari Roti Gandum;30/10/2016 10.43;morning;weekend
20;Sari Roti Gandum;30/10/2016 10.45;morning;weekend
20;Mentega blueband;30/10/2016 10.45;morning;weekend
21;Kopi kapal api;30/10/2016 10.49;morning;weekend
21;Kopi kapal api;30/10/2016 10.49;morning;weekend
21;Mentega blueband;30/10/2016 10.49;morning;weekend
21;Sari Roti Gandum;30/10/2016 10.49;morning;weekend
22;Popok Mamypoko;30/10/2016 10.52;morning;weekend
23;Gula;30/10/2016 10.53;morning;weekend
23;Minyak makan bimoli;30/10/2016 10.53;morning;weekend
24;Sari Roti Gandum;30/10/2016 10.54;morning;weekend
25;Gula;30/10/2016 10.55;morning;weekend
